productId,catalogueKey,basePrice,offerPrice,stockStatus
prod_1785656884530_b2b000,b2b,514,509,available
prod_1785656884530_b2b001,b2b,514,509,available
prod_1785656884530_b2b002,b2b,558,547,available
prod_1785656884530_b2b003,b2b,603,585,available
prod_1785656884530_b2b004,b2b,491,481,available
prod_1785656884530_b2b005,b2b,536,528,available
prod_1785656884530_b2b006,b2b,603,585,available
prod_1785656884530_b2b007,b2b,420,399,available
prod_1785656884530_b2b008,b2b,508,498,available
prod_1785656884530_b2b009,b2b,583,571,available
prod_1785656884530_b2b010,b2b,581,564,available
prod_1785656884530_b2b011,b2b,563,546,available
prod_1785656884530_b2b012,b2b,581,564,available
prod_1785656884530_b2b013,b2b,534,529,available
prod_1785656884530_b2b014,b2b,356,345,available
prod_1785656884530_b2b015,b2b,413,405,available
prod_1785656884530_b2b016,b2b,578,566,available
prod_1785656884530_b2b017,b2b,561,544,available
prod_1785656884530_b2b018,b2b,677,663,available
prod_1785656884530_b2b019,b2b,539,523,available
prod_1785656884530_b2b020,b2b,701,680,available
prod_1785656884530_b2b021,b2b,704,690,available
prod_1785656884530_b2b022,b2b,559,542,available
prod_1785656884530_b2b023,b2b,632,600,available
prod_1785656884530_b2b024,b2b,631,599,available
prod_1785656884530_b2b025,b2b,532,505,available
prod_1785656884530_b2b026,b2b,606,576,available
prod_1785656884530_b2b027,b2b,598,568,available
prod_1785656884530_b2b028,b2b,1076,1054,available
prod_1785656884530_b2b029,b2b,700,665,available
prod_1785656884530_b2b030,b2b,952,857,available
prod_1785656884530_b2b031,b2b,132,129,available
prod_1785656884530_b2b032,b2b,610,598,available
prod_1785656884530_b2b033,b2b,353,353,available
prod_1785656884530_b2b034,b2b,377,377,available
prod_1785656884530_b2b035,b2b,418,418,available
prod_1785656884530_b2b036,b2b,348,348,available
prod_1785656884530_b2b037,b2b,418,418,available
prod_1785656884530_b2b038,b2b,331,331,available
prod_1785656884530_b2b039,b2b,88,88,available
prod_1785656884530_b2b040,b2b,480,480,available
prod_1785656884530_b2b041,b2b,455,432,available
prod_1785656884530_b2b042,b2b,460,455,available
prod_1785656884530_b2b043,b2b,508,483,available
prod_1785656884530_b2b044,b2b,424,382,available
prod_1785656884530_b2b045,b2b,533,506,available
prod_1785656884530_b2b046,b2b,541,514,available
prod_1785656884530_b2b047,b2b,537,532,available
prod_1785656884530_b2b048,b2b,499,474,available
prod_1785656884530_b2b049,b2b,542,515,available
prod_1785656884530_b2b050,b2b,542,515,available
prod_1785656884530_b2b051,b2b,526,500,available
prod_1785656884530_b2b052,b2b,382,344,available
prod_1785656884530_b2b053,b2b,293,293,available
prod_1785656884530_b2b054,b2b,141,141,available
prod_1785656884530_b2b055,b2b,327,311,available
prod_1785656884530_b2b056,b2b,299,284,available
prod_1785656884530_b2b057,b2b,262,249,available
prod_1785656884530_b2b058,b2b,220,209,available
